GBP/USD,20150101 22:09:52.026,1.55805,1.55848
GBP/USD,20150101 22:09:54.489,1.55811,1.55848
GBP/USD,20150101 22:09:55.126,1.55804,1.55848
GBP/USD,20150101 22:09:59.684,1.55786,1.55848
GBP/USD,20150101 22:09:59.695,1.55786,1.55842
GBP/USD,20150101 22:09:59.716,1.55788,1.55842
GBP/USD,20150101 22:10:00.438,1.55796,1.55842
GBP/USD,20150101 22:10:04.927,1.55798,1.55842
GBP/USD,20150101 22:10:06.112,1.55801,1.55842
GBP/USD,20150101 22:10:07.172,1.558,1.55842
GBP/USD,20150101 22:10:12.516,1.558,1.55844
GBP/USD,20150101 22:10:13.022,1.55807,1.55844
GBP/USD,20150101 22:10:13.029,1.55791,1.55844
GBP/USD,20150101 22:10:13.051,1.558,1.55844
GBP/USD,20150101 22:10:14.437,1.55802,1.55844
GBP/USD,20150101 22:10:15.692,1.55798,1.55844
GBP/USD,20150101 22:10:17.372,1.558,1.55844
GBP/USD,20150101 22:10:19.409,1.55805,1.55844
GBP/USD,20150101 22:10:19.412,1.55805,1.55845
GBP/USD,20150101 22:10:19.423,1.55799,1.55845
GBP/USD,20150101 22:10:20.491,1.55804,1.55845
GBP/USD,20150101 22:10:20.507,1.55804,1.55848
GBP/USD,20150101 22:10:21.632,1.55805,1.55848
GBP/USD,20150101 22:10:30.563,1.55805,1.55849
GBP/USD,20150101 22:10:30.802,1.55816,1.55849
GBP/USD,20150101 22:10:30.807,1.55798,1.55849
GBP/USD,20150101 22:10:30.818,1.55798,1.55845
GBP/USD,20150101 22:10:30.828,1.55805,1.55845
GBP/USD,20150101 22:10:30.868,1.55805,1.55849
GBP/USD,20150101 22:10:31.893,1.55806,1.55849
GBP/USD,20150101 22:10:32.926,1.55804,1.55849
GBP/USD,20150101 22:10:33.931,1.55805,1.55849
GBP/USD,20150101 22:10:36.534,1.5581,1.55849
GBP/USD,20150101 22:10:36.539,1.55797,1.55849
GBP/USD,20150101 22:10:36.558,1.55806,1.55849
GBP/USD,20150101 22:10:40.897,1.55808,1.55849
GBP/USD,20150101 22:10:41.897,1.55806,1.55849
GBP/USD,20150101 22:10:42.942,1.55807,1.55849
GBP/USD,20150101 22:10:42.945,1.55807,1.55848
GBP/USD,20150101 22:10:42.955,1.55801,1.55848
GBP/USD,20150101 22:10:44.002,1.55802,1.55848
GBP/USD,20150101 22:10:51.075,1.55802,1.55846
GBP/USD,20150101 22:10:51.181,1.55798,1.55846
GBP/USD,20150101 22:10:51.187,1.55787,1.55846
GBP/USD,20150101 22:10:51.213,1.55775,1.55846
GBP/USD,20150101 22:10:52.201,1.55793,1.55846
GBP/USD,20150101 22:10:53.202,1.55797,1.55846
GBP/USD,20150101 22:10:53.210,1.55797,1.55843
GBP/USD,20150101 22:10:54.227,1.558,1.55843
GBP/USD,20150101 22:10:55.232,1.55799,1.55843
GBP/USD,20150101 22:10:58.296,1.55801,1.55843
GBP/USD,20150101 22:10:58.300,1.55801,1.55845
GBP/USD,20150101 22:10:59.356,1.558,1.55845
GBP/USD,20150101 22:11:01.542,1.55799,1.55845
GBP/USD,20150101 22:11:02.554,1.55804,1.55845
GBP/USD,20150101 22:11:03.358,1.558,1.55845
GBP/USD,20150101 22:11:04.397,1.55802,1.55845
GBP/USD,20150101 22:11:06.371,1.55799,1.55845
GBP/USD,20150101 22:11:06.407,1.55791,1.55845
GBP/USD,20150101 22:11:07.379,1.55798,1.55845
GBP/USD,20150101 22:11:08.536,1.558,1.55845
GBP/USD,20150101 22:11:10.152,1.55798,1.55845
GBP/USD,20150101 22:11:11.599,1.55794,1.55845
GBP/USD,20150101 22:11:11.602,1.55794,1.55843
GBP/USD,20150101 22:11:13.517,1.55796,1.55843
GBP/USD,20150101 22:11:14.706,1.55799,1.55843
GBP/USD,20150101 22:11:16.016,1.55798,1.55843
GBP/USD,20150101 22:11:17.017,1.55799,1.55843
GBP/USD,20150101 22:11:19.812,1.55793,1.55843
GBP/USD,20150101 22:11:19.849,1.55796,1.55843
GBP/USD,20150101 22:11:21.913,1.55797,1.55843
GBP/USD,20150101 22:11:22.921,1.55798,1.55843
GBP/USD,20150101 22:11:22.924,1.55798,1.55842
GBP/USD,20150101 22:11:24.586,1.558,1.55842
GBP/USD,20150101 22:11:25.526,1.55793,1.55842
GBP/USD,20150101 22:11:26.537,1.5579,1.55842
GBP/USD,20150101 22:11:26.571,1.55797,1.55842
GBP/USD,20150101 22:11:28.297,1.55796,1.55842
GBP/USD,20150101 22:11:30.994,1.55783,1.55842
GBP/USD,20150101 22:11:31.029,1.55793,1.55842
GBP/USD,20150101 22:11:32.031,1.55796,1.55842
GBP/USD,20150101 22:11:33.552,1.55798,1.55842
GBP/USD,20150101 22:11:34.557,1.55799,1.55842
GBP/USD,20150101 22:11:35.703,1.55804,1.55842
GBP/USD,20150101 22:11:35.767,1.55804,1.55844
GBP/USD,20150101 22:11:35.885,1.55798,1.55844
GBP/USD,20150101 22:11:38.956,1.55803,1.55844
GBP/USD,20150101 22:11:38.972,1.55803,1.55843
GBP/USD,20150101 22:11:38.972,1.55799,1.55843
GBP/USD,20150101 22:11:38.973,1.55799,1.55842
GBP/USD,20150101 22:11:43.047,1.55807,1.55842
GBP/USD,20150101 22:11:43.076,1.55802,1.55842
GBP/USD,20150101 22:11:44.103,1.55802,1.55845
